"row ID","Prediction (Result)"
"Row0","legitimate"
"Row1","suspect"
"Row2","legitimate"
"Row3","phishy"
"Row4","legitimate"
"Row5","legitimate"
"Row6","phishy"
"Row7","phishy"
"Row8","phishy"
"Row9","phishy"
"Row10","legitimate"
"Row11","legitimate"
"Row12","phishy"
"Row13","phishy"
"Row14","suspect"
"Row15","phishy"
"Row16","legitimate"
"Row17","phishy"
"Row18","suspect"
"Row19","phishy"
"Row20","legitimate"
"Row21","legitimate"
"Row22","phishy"
"Row23","legitimate"
"Row24","phishy"
"Row25","legitimate"
"Row26","legitimate"
"Row27","legitimate"
"Row28","legitimate"
"Row29","legitimate"
"Row30","legitimate"
"Row31","legitimate"
"Row32","legitimate"
"Row33","phishy"
"Row34","phishy"
"Row35","phishy"
"Row36","suspect"
"Row37","phishy"
"Row38","legitimate"
"Row39","legitimate"
"Row40","phishy"
"Row41","phishy"
"Row42","phishy"
"Row43","phishy"
"Row44","phishy"
"Row45","phishy"
"Row46","phishy"
"Row47","phishy"
"Row48","legitimate"
"Row49","phishy"
"Row50","phishy"
"Row51","suspect"
"Row52","legitimate"
"Row53","phishy"
"Row54","phishy"
"Row55","legitimate"
"Row56","phishy"
"Row57","legitimate"
"Row58","phishy"
"Row59","legitimate"
"Row60","phishy"
"Row61","phishy"
"Row62","phishy"
"Row63","legitimate"
"Row64","phishy"
"Row65","legitimate"
"Row66","phishy"
"Row67","legitimate"
"Row68","phishy"
"Row69","phishy"
"Row70","legitimate"
"Row71","phishy"
"Row72","legitimate"
"Row73","phishy"
"Row74","suspect"
"Row75","suspect"
"Row76","legitimate"
"Row77","phishy"
"Row78","legitimate"
"Row79","phishy"
"Row80","phishy"
"Row81","legitimate"
"Row82","suspect"
"Row83","legitimate"
"Row84","phishy"
"Row85","phishy"
"Row86","legitimate"
"Row87","legitimate"
"Row88","phishy"
"Row89","phishy"
"Row90","legitimate"
"Row91","phishy"
"Row92","phishy"
"Row93","legitimate"
"Row94","legitimate"
"Row95","phishy"
"Row96","phishy"
"Row97","phishy"
"Row98","phishy"
"Row99","suspect"
"Row100","phishy"
"Row101","phishy"
"Row102","phishy"
"Row103","legitimate"
"Row104","legitimate"
"Row105","phishy"
"Row106","phishy"
"Row107","legitimate"
"Row108","phishy"
"Row109","phishy"
"Row110","legitimate"
"Row111","phishy"
"Row112","phishy"
"Row113","legitimate"
"Row114","phishy"
"Row115","phishy"
"Row116","legitimate"
"Row117","phishy"
"Row118","suspect"
"Row119","legitimate"
"Row120","legitimate"
"Row121","phishy"
"Row122","legitimate"
"Row123","phishy"
"Row124","phishy"
"Row125","phishy"
"Row126","phishy"
"Row127","legitimate"
"Row128","legitimate"
"Row129","legitimate"
"Row130","legitimate"
"Row131","phishy"
"Row132","phishy"
"Row133","legitimate"
"Row134","legitimate"
"Row135","legitimate"
"Row136","phishy"
"Row137","phishy"
"Row138","phishy"
